times,theta_mu,theta_var,range_mu,range_var
1398179939.519909,-1.6238459227751114,1.976704080340239e-06,1.8843147438757544,0.0005125007366649627
1398179939.651959,-1.6189377801826481,1.9497413470325997e-06,1.8851567176686281,0.0005338131200188351
1398179939.769569,-1.6147438093109892,9.376209347504114e-07,1.8860521019843495,0.0005417407380842991
1398179939.892013,-1.6105331235004792,1.973140661318068e-06,1.8865322069383865,0.0005546644811393307
1398179939.996511,-1.6063396613314513,9.251373435943732e-07,1.8873646477518542,0.0005732909608915152
1398179940.11208,-1.6021328054907156,1.959097682363463e-06,1.888707894776432,0.000590632484369487
1398179940.219772,-1.5982791773043383,6.547141237901851e-07,1.8895953935619476,0.00060687218132382
1398179940.324091,-1.595153683053126,9.94282836410253e-07,1.889981752477641,0.0006364955218487158
1398179940.789278,-1.5902369967040242,3.280923036278277e-06,1.8901389641588968,0.0006452101639894822
1398179940.888473,-1.5822014657502506,7.922960380323532e-06,1.889441824539605,0.0007439438086965168
1398179940.985827,-1.572731952742287,6.825039433929502e-06,1.8892244134296394,0.0008290676891164929
1398179941.082772,-1.5660911619617393,1.4279945088406115e-06,1.8891114823991468,0.000839155306238209
1398179941.1941,-1.5622491357940487,1.0022313248011918e-06,1.8883558660605235,0.0008488144043726119
1398179941.290426,-1.5587446948468626,9.62084291412737e-07,1.8879899971624485,0.0008303278400871679
1398179941.387471,-1.5552491494934133,1.0415376948907062e-06,1.88763475826741,0.0008428296376276084
1398179941.492005,-1.551751620435381,9.295209988624295e-07,1.8862972734589822,0.0008505620748105227
1398179941.588892,-1.5482382433356863,1.005990354432772e-06,1.8849484901194542,0.0008382388033756294
1398179941.684088,-1.5443921635229914,1.4574945468517201e-06,1.8828873102747437,0.0008274433055811775
1398179941.786936,-1.5409300562163475,6.251418408442875e-07,1.8808669602164116,0.0008233150029232991
1398179941.890774,-1.537394856870453,1.390035074059393e-06,1.8797980575436621,0.0008182193111232916
1398179941.992089,-1.5332107523041425,1.3796186588994804e-06,1.8794945988954257,0.0007836405818353304
1398179942.111896,-1.5290041056595511,1.3751551736640593e-06,1.8785090682556178,0.0007721450231927917
1398179942.235927,-1.5244527995632975,1.9565773363532877e-06,1.8768506246140917,0.0007601006907890837
1398179942.344958,-1.5199084261926585,1.4346851873251914e-06,1.8750022622713136,0.0007061037773276636
1398179942.449055,-1.516066676336874,9.679487649835452e-07,1.874297550760154,0.0007100079581343447
1398179942.544843,-1.512534209264756,9.727889742837616e-07,1.8741447643617428,0.0007156320756105537
1398179942.640953,-1.5090782438449308,1.0246843951374749e-06,1.8738419013755196,0.000697122975496996
